symbol,value
…,0
€,1
˜,2
‡,3
›,4
†,5
‹,6
•,7
ž,8
‹,9
€,10
œ,11
Š,12
„,13
†,14
—,15
€,16
œ,17
š,18
Ÿ,19
ˆ,20
ž,21
Ž,22
œ,23
Ÿ,24
”,25
š,26
ƒ,27
€,28
–,29
‡,30
„,31
Ž,32
Š,33
“,34
‚,35
œ,36
–,37
˜,38
™,39
ˆ,40
“,41
Ž,42
†,43
›,44
˜,45
ˆ,46
‡,47
—,48
•,49
‡,50
œ,51
‚,52
”,53
„,54
™,55
Ž,56
“,57
‘,58
†,59
–,60
‰,61
›,62
Ÿ,63
‚,64
‘,65
—,66
–,67
Ÿ,68
’,69
€,70
–,71
‘,72
–,73
—,74
—,75
†,76
œ,77
Ž,78
‹,79
‡,80
€,81
–,82
ž,83
Ÿ,84
ƒ,85
–,86
—,87
›,88
œ,89
‘,90
˜,91
—,92
Ž,93
”,94
‘,95
‘,96
‹,97
„,98
ˆ,99
ƒ,100
…,101
Ÿ,102
Š,103
’,104
‹,105
’,106
ƒ,107
ƒ,108
–,109
Ž,110
’,111
œ,112
˜,113
•,114
Ÿ,115
†,116
‚,117
—,118
Ÿ,119
’,120
€,121
Œ,122
Ÿ,123
Œ,124
›,125
€,126
•,127
†,128
—,129
‡,130
‘,131
‚,132
…,133
™,134
Š,135
…,136
ƒ,137
€,138
Ž,139
‰,140
…,141
‹,142
š,143
Ž,144
ˆ,145
œ,146
ž,147
Ÿ,148
™,149
‹,150
†,151
Ž,152
–,153
š,154
–,155
’,156
„,157
€,158
“,159
‹,160
š,161
…,162
€,163
ž,164
ƒ,165
–,166
†,167
ƒ,168
Œ,169
„,170
”,171
†,172
…,173
“,174
‘,175
ž,176
–,177
›,178
“,179
–,180
š,181
‡,182
ƒ,183
€,184
Œ,185
‡,186
ƒ,187
›,188
•,189
—,190
…,191
…,192
‚,193
Ž,194
’,195
ž,196
‚,197
™,198
ž,199
“,200
„,201
š,202
‚,203
‚,204
—,205
™,206
ž,207
˜,208
˜,209
‹,210
›,211
•,212
˜,213
ž,214
‹,215
”,216
Ÿ,217
ƒ,218
‚,219
ˆ,220
“,221
š,222
–,223
—,224
•,225
Ÿ,226
€,227
Š,228
‡,229
Ÿ,230
Š,231
™,232
Ž,233
š,234
…,235
Ÿ,236
œ,237
–,238
Š,239
„,240
œ,241
‡,242
š,243
Ž,244
‚,245
™,246
ž,247
„,248
‚,249
š,250
—,251
–,252
‰,253
—,254
˜,255
ƒ,256
ˆ,257
”,258
‰,259
Ÿ,260
†,261
‰,262
”,263
‰,264
Ÿ,265
‘,266
ˆ,267
›,268
›,269
›,270
ˆ,271
†,272
“,273
–,274
Ž,275
ˆ,276
‰,277
ƒ,278
Š,279
†,280
•,281
˜,282
†,283
•,284
›,285
”,286
–,287
‹,288
›,289
Œ,290
Ž,291
—,292
ƒ,293
›,294
‰,295
…,296
ƒ,297
™,298
›,299
Š,300
’,301
–,302
Š,303
†,304
†,305
„,306
“,307
”,308
•,309
‹,310
€,311
“,312
‰,313
†,314
‹,315
–,316
‹,317
˜,318
›,319
™,320
›,321
Ÿ,322
€,323
‹,324
‹,325
ƒ,326
‡,327
“,328
ˆ,329
•,330
ž,331
Ž,332
•,333
Œ,334
™,335
’,336
•,337
ž,338
•,339
ˆ,340
Œ,341
‹,342
‚,343
œ,344
Ž,345
‚,346
„,347
‘,348
œ,349
ˆ,350
‹,351
ƒ,352
Œ,353
€,354
˜,355
›,356
‚,357
‰,358
Œ,359
™,360
”,361
Ž,362
œ,363
“,364
–,365
Š,366
Š,367
Š,368
„,369
†,370
•,371
‹,372
„,373
™,374
•,375
‚,376
Š,377
ƒ,378
”,379
‰,380
‹,381
’,382
ž,383
‰,384
€,385
”,386
ƒ,387
’,388
ˆ,389
“,390
„,391
“,392
œ,393
›,394
…,395
›,396
ˆ,397
€,398
‹,399
„,400
‘,401
–,402
“,403
›,404
ƒ,405
–,406
Ž,407
€,408
œ,409
Œ,410
†,411
ˆ,412
œ,413
”,414
˜,415
Œ,416
”,417
€,418
Ÿ,419
„,420
™,421
Š,422
•,423
„,424
Ž,425
Š,426
š,427
‘,428
›,429
‚,430
Š,431
”,432
…,433
Š,434
™,435
ž,436
ž,437
œ,438
†,439
„,440
ƒ,441
Ž,442
‹,443
›,444
…,445
‰,446
„,447
ˆ,448
Œ,449
–,450
œ,451
˜,452
‰,453
ž,454
“,455
ž,456
–,457
Ž,458
”,459
’,460
„,461
Ÿ,462
ž,463
‘,464
›,465
“,466
š,467
†,468
›,469
„,470
œ,471
‰,472
…,473
Œ,474
‚,475
œ,476
‹,477
œ,478
ˆ,479
ˆ,480
‚,481
Š,482
‘,483
œ,484
…,485
—,486
—,487
—,488
ž,489
†,490
€,491
™,492
Ÿ,493
€,494
˜,495
”,496
˜,497
‰,498
†,499
